所得稅費用,稅前淨利,稅率,所得稅費用, 稅前淨利,稅率,所得稅費用, 稅前淨利,稅率,所得稅費用, 稅前淨利,稅率,所得稅費用, 稅前淨利,稅率,所得稅費用, 稅前淨利,稅率,所得稅費用, 稅前淨利,稅率,所得稅費用, 稅前淨利,稅率,所得稅費用, 稅前淨利,稅率
"-461,919","-21,492","","-798,363","9,241","","90,083","63,654","","720,875","18,936","","-978,256","-8,654","","525,187","139,141","","428,605","136,234","","-408,850","47,673","","815,215","242,192",""
"937,071","42,350","","258,848","-25,870","","989,276","-6,701",""
"1,309,917","100,645","","1,152,191","99,018","","2,852,623","159,219","","1,505,598","66,408","","-997,504","-1,046,768","","2,330,775","376,133","","2,169,384","422,112","","829,562","144,243","","1,018,836","169,195",""
"1,693,122","275,043","","12,021,796","1,095,897","","6,980,206","656,897","","2,096,295","31,569","","-1,714,836","-161,395","","3,161,761","294,110","","1,881,248","147,338","","1,407,534","204,599","","1,051,348","351,578",""
"189,318","27,604","","642,509","16,771","","239,420","29,058","","166,626","54,248","","348,079","22,898","","395,858","43,056","","305,316","28,880","","308,431","40,393","","230,200","25,542",""
"1,004,893","194,328","","1,405,500","224,472","","1,423,629","237,454","","1,860,766","296,117","","675,801","139,528","","1,125,308","132,129","","725,360","90,768","","1,221,826","110,668","","1,405,362","165,642",""
"-121,422","5,928","","-164,310","3,457","","-125,511","9,487","","141,352","61,939","","-272,897","-8,979","","-184,505","44,435","","-426,590","11,795","","445,913","-17,999","","473,079","81,209",""
"215,650","29,280","","202,789","37,570","","221,294","24,831","","132,796","15,293","","87,768","24,716","","83,417","11,104","","51,927","3,936","","13,519","-3,580","","70,942","1,564",""
"-16,008","-5,061","","43,202","6,500","","23,500","-4,162",""
"95,173","20,306","","148,175","26,384","","174,899","24,903","","215,499","34,768","","158,525","19,159","","117,329","11,717","","66,697","35,000","","47,491","11,853","","-58,657","3,714",""
"7,150,429","56,173","","36,517,324","3,546,466","","50,364,883","3,089,707","","29,439,528","0","","2,527,028","-3,570,609","","51,185,137","3,492,486","","34,177,195","1,605,476","","39,842,625","0","","43,234,959","1,975,528",""

"209,820","41,293","","198,381","27,279","","101,178","8,716",""

"283,091","1,611","","317,903","13,119","","577,830","-4,003","","88,667","-14,775","","45,309","9,365","","222,542","14,074","","333,774","18,851","","312,540","26,720","","234,384","38,381",""
"613,712","43,320","","522,741","42,333","","184,724","33,515","","208,578","18,983","","116,077","29,515","","150,297","444",""
"4,533,411","317,381","","28,197,457","5,054,491","","46,463,240","5,489,443","","16,385,704","-18,061","","9,387,582","1,185","","67,309,674","8,263,032","","52,058,189","4,388,767","","41,089,891","1,249,110","","45,204,776","1,713,548",""
"6,229,766","413,655","","7,435,731","199,142","","5,703,125","254,017","","5,077,383","249,497","","3,419,231","126,462","","3,868,536","66,312","","2,979,998","286,421","","3,352,734","507,074","","2,893,579","468,066",""
"4,616,163","150,452","","5,044,128","-36,305","","4,943,400","-21,562","","3,469,536","19,572","","1,962,943","121,659","","2,600,627","39,949","","1,385,687","25","","-347,689","-2,832","","","",""
"2,374,126","420,134","","2,587,506","422,023","","1,993,581","259,166","","1,828,262","431,291","","2,470,118","574,816","","3,022,962","718,567","","3,178,647","770,843","","2,098,091","508,563","","1,639,275","342,334",""
"18,095,332","928,584","","11,575,953","584,922","","16,362,352","589,315","","11,576,548","-80,927","","11,386,851","1,135,936","","16,734,783","1,673,478","","12,685,876","1,355,035","","7,525,365","-27,575","","5,959,042","-702,656",""
"-3,531,840","-621,514","","-7,792,263","-1,190,295","","17,603,080","2,485,083","","13,030,809","1,677,435","","12,853,524","1,111,389","","13,571,995","613,062","","11,774,747","1,556,505","","9,650,156","1,172,654","","7,759,418","747,757",""
"-27,609,864","803","","-5,306,127","-80,556","","7,728,526","109,238",""
"27,388,877","4,349,830","","27,434,957","4,382,421","","23,254,447","4,662,372","","25,985,988","3,673,036","","25,234,653","5,015,203","","22,056,768","3,610,241","","15,496,113","2,669,044","","13,506,789","2,602,694","","12,485,037","511,350",""
"7,589,031","54,171","","7,535,173","309,248","","9,277,418","290,961","","7,407,310","355,469","","4,769,211","349,778","","9,192,892","702,675","","9,188,217","786,258","","9,627,440","895,082","","8,104,810","547,633",""
"8,127,809","1,461,378","","10,187,930","1,122,902","","13,774,811","1,744,469","","11,143,294","2,008,658","","8,387,718","1,509,789","","7,771,118","1,165,668","","6,574,775","1,247,902","","3,212,439","30,493","","-834,071","-10,404",""
"26,713,632","4,291,302","","19,795,465","3,217,306","","18,908,870","2,420,513","","12,820,770","341,704","","20,556,548","4,099,981","","33,390,946","5,767,666","","23,938,963","4,726,531","","19,353,455","2,078,497","","16,003,546","904,620",""
"4,016,885","802,323","","2,977,690","552,336","","3,987,643","505,230","","5,247,491","634,752","","5,517,277","181,844","","6,325,343","687,728","","6,302,954","677,153","","3,360,860","107,085","","2,284,331","-139,836",""
"7,175,150","764,123","","12,102,333","1,087,653","","26,562,830","3,291,034","","20,187,242","979,193","","14,797,901","2,158,864","","16,544,707","2,861,568","","10,391,293","1,639,827","","9,664,650","1,245,532","","7,202,781","629,633",""

"-3,322,458","6,000","","-4,387,036","-116,000","","5,380,712","604,000","","2,045,436","610,000","","-5,446,575","-443,000","","2,236,806","598,000","","8,887,575","412,000","","1,556,930","0","","7,846,884","0",""
"-3,534,538","-22,226","","1,245,167","-134,683","","-3,504,924","-24,159","","-9,937,384","-20,374","","-6,799,303","55,770","","3,613,797","37,169","","-8,208,486","-28,030","","-6,054,325","77,600","","4,691,086","23,992",""
"17,357,245","1,463,215","","9,369,470","832,986","","10,826,558","511,553","","14,381,443","950,192","","4,078,980","531,528","","6,203,644","634,368","","2,170,050","213,027","","1,434,022","52,443","","2,474,275","188,930",""
"-98,576","73,276","","1,005,712","588","","259,141","14","","-33,178","19","","-82,687","7,046","","-73,786","-14,475","","80,741","8","","-29,589","5","","-92,095","0",""
"12,649","0","","41,382","0","","571,001","0","","-40,634","0","","-61,454","0","","-69,996","0","","-55,170","0","","-59,716","0","","-96,325","0",""
"342,890","25,665","","749,699","36,416","","442,717","22,867","","379,888","8,921","","335,556","6,020","","147,329","0","","147,634","0","","3,072","425","","14,755","0",""
"150,079","0","","-99,979","0","","-1,008,286","0",""
"633,462","1,172","","788,326","25,408","","344,094","30,887","","278,159","22,903","","212,781","154","","150,418","9,893","","380,374","0","","196,182","0","","76,677","0",""
"1,782,813","95,683","","3,125,397","21,258","","1,017,693","11,983","","623,051","59,990","","327,032","-35,939","","916,127","24,711","","1,189,789","-10,244","","185,108","40,681","","54,558","-6,176",""
"275,538","62,870","","842,979","59,347","","1,255,308","49,210","","527,206","-13,616","","637,139","-28,109","","1,416,006","237,771","","1,109,851","65,741","","1,006,757","5,251","","631,205","17,800",""
"1,406,811","132,887","","349,313","13,048","","71,204","-92","","-360,147","0","","193,219","26,717","","567,343","23","","428,491","23,606","","22,591","86","","100,211","182",""
"281,770","15,677","","974,036","33,925","","499,029","19,533","","310,462","-37,269","","-91,510","20,157","","105,835","51,301","","-156,504","43,520","","-574,238","26,633","","-1,732,903","21,190",""
"233,990","3,733","","398,076","4,320","","394,491","3,183","","378,172","10,216","","358,633","7,524","","450,909","3,000","","254,688","6,350","","152,835","0","","125,134","25",""
"625,741","22,483","","-327,114","58","","399,121","3,799",""
"381,468","-7,153","","275,529","109,351","","921,781","101,025","","286,152","76,326","","126,232","88,414","","609,295","49,477","","861,001","69,453","","542,675","174,386","","382,868","258,796",""
"200,175","38,735","","265,400","30,158","","527,794","52,851","","159,597","0","","100,016","-13,737","","91,948","38,003","","-511,870","0","","-564,835","6,636","","74,783","46,533",""
"1,066,153","38,783","","1,086,512","105,847","","1,743,432","56,832","","1,186,845","9,927","","400,585","7,903","","305,923","-14,909","","166,433","10,885","","99,075","11,698","","18,092","17,028",""
"1,478,663","51,761","","880,730","52,528","","973,136","30,628","","563,594","43,957","","653,325","54,240","","744,673","46,848","","642,011","27,873","","899,886","85,746","","1,220,434","11,497",""
"270,573","21,069","","482,474","8,107","","204,705","7,998","","130,354","3","","63,860","0","","69,012","6,491","","205,500","882","","92,459","823","","-1,150,015","11",""
"33,340","0","","-48,224","0","","-60,419","0","","-28,559","11","","-40,116","0","","-29,132","0","","-83,327","0","","-184,380","0","","-204,675","0",""
"165,299","14","","-1,707,879","-657","","30,092","351",""
"316,151","20,825","","904,446","12,650","","1,118,912","30,806","","1,144,068","-7,709","","609,775","21,480","","2,743,182","-27,941","","2,026,390","-48,570","","537,553","-2,498","","-22,451","-455",""
"632,046","107,436","","554,880","71,784","","578,083","100,178","","416,439","84,315","","407,717","121,813","","524,409","138,777","","428,541","82,518","","258,639","44,991","","-63,610","31,128",""
"1,112,763","22,588","","814,558","31,685","","1,044,003","47,577","","1,662,036","70,406","","1,616,512","28,863","","1,259,553","25,314","","962,549","27,762","","856,642","25,457","","564,336","346",""
"199,197","0","","168,013","-3","","11,268","0","","38,067","0","","-15,407","0","","-32,769","0","","-117,579","868","","-365,935","704","","-53,407","17",""
"823,732","8,374","","679,487","13,552","","612,350","29,722","","557,481","14,144","","441,678","33,248","","646,744","22,154","","564,674","100","","-246,346","341","","52,777","74,184",""
"129,358","157","","232,520","2,062","","213,668","874","","53,805","0","","30,918","4,661","","-50,618","0","","-32,464","0","","-235,409","-181","","-135,535","-60,265",""
"-26,475","0","","46,372","-25","","13,543","25","","-252,862","-44,249","","-161,758","0","","-77,383","44,262",""
"5,844,705","345,834","","6,627,077","229,276","","7,061,138","56,430","","4,387,546","-33","","1,869,427","2,605","","2,212,649","2,323","","1,951,149","46,379","","658,992","11,007","","360,762","35,582",""
"27,817","3,709","","86,757","11,603","","-261,840","-20,888","","-417,236","-45,529","","99,055","26,110","","158,419","45,761","","215,090","29,953","","182,965","47,596","","144,650","36,561",""
"5,009,367","170,396","","1,372,296","499","","243,467","41,374","","1,348,145","35,638","","912,902","41,806","","1,507,310","43,692","","2,259,276","9,651","","982,904","28,464","","570,714","9,421",""
"142,930","24,002","","142,507","24,082","","344,589","75,616","","319,207","64,631","","73,208","24,692","","115,093","37,175","","103,300","28,322","","94,836","34,654","","-163,515","-2,276",""
"1,101,266","55,703","","2,608,419","89,000","","4,321,698","145,897","","1,359,987","-60,600","","225,934","-22,137","","859,016","0","","227,942","0","","116,970","-20,290","","647,922","43,081",""
"1,783,507","97,321","","2,955,819","153,745","","3,020,062","94,062","","2,742,264","177,428","","2,719,141","149,399","","2,228,756","101,184","","1,291,302","67,149","","1,110,803","9,600","","428,289","40,041",""

"186,061","14,117","","545,806","-576","","403,687","231","","175,388","209","","251,542","-7,327","","841,300","11,987","","-716,115","1,293","","566,755","-109","","-1,173,710","62,300",""

"178,795","-989","","192,191","12,923","","214,080","35,313","","439,299","-11,932","","169,221","3,662","","68,327","-18,457","","6,064","2,107","","-492,995","43,000","","14,926","4,000",""
"562,505","75,238","","535,440","-35,669","","-3,991","0","","16,931","0","","-24,075","0","","-106,183","0","","-104,935","15,868","","-114,869","877","","-20,322","2,145",""
"1,175,693","28,476","","997,074","12,948","","931,102","0",""
"710,806","128,842","","524,676","67,380","","631,142","64,194","","540,231","27,628","","494,175","120,123","","482,173","122,032","","378,602","86,720","","297,789","50,775","","263,432","39,161",""
"101,401","16,548","","120,223","22,914","","167,238","22,307",""
